id,category,subcategory,years,thumbs,main_image,additional_images,price,product_name,part_number,product_description
ams-1,seats,mesinger,,./category/Seats/thumbnails/mesinger_standard_number_four.jpg,./category/Seats/mesinger_standard_number_four.jpg,,$325,Mesinger Standard #4,,"
price is for leather work only. molded one piece with liner"
ams-2,seats,mesinger,,./category/Seats/thumbnails/mesinger-back-rest-high-1.jpg,./category/Seats/mesinger-back-rest-high-1.jpg,"[""./category/Seats/mesinger-back-rest-high-2.jpg"",""./category/Seats/mesinger-back-rest-high-3.jpg"",""./category/Seats/mesinger-back-rest-high-4.jpg"",""./category/Seats/mesinger-back-rest-high-5.jpg""]",$275,Mesinger Backrest High,,price is for leather work only.
ams-3,seats,mesinger,,./category/Seats/thumbnails/mesinger-back-rest-low-1.jpg,./category/Seats/mesinger-back-rest-low-1.jpg,"[""./category/Seats/mesinger-back-rest-low-2.jpg"",""./category/Seats/mesinger-back-rest-low-3.jpg"",""./category/Seats/mesinger-back-rest-low-4.jpg""]",$275,Mesinger Backrest High,,price is for leather work only.
ams-4,seats,mesinger,,./category/Seats/thumbnails/mesinger-cavalry-number-four-1.jpg,./category/Seats/mesinger-cavalry-number-four-1.jpg,,$450,Mesinger Cavalry #4,,"price is for leather work only. new curved plywood base, padded & sewn, top and bottom leather "
ams-5,seats,mesinger,,./category/Seats/thumbnails/mesinger-cavalry-number-three-1.jpg,./category/Seats/mesinger-cavalry-number-three-1.jpg,"[""./category/Seats/mesinger-cavalry-number-three-2.jpg""]",$450,Mesinger Cavalry #3,,"
price is for leather work only. new curved plywood base, padded & sewn, top and bottom leather "
ams-6,seats,mesinger,,./category/Seats/thumbnails/mesinger-number-one-1.jpg,./category/Seats/mesinger-number-one-1.jpg,"[""./category/Seats/mesinger-number-one-2.jpg"",""./category/Seats/mesinger-number-one-3.jpg"",""./category/Seats/mesinger-number-one-4.jpg"",""./category/Seats/mesinger-number-one-5.jpg""]",$365,Mesinger #1,,"
price is for leather work only. "
ams-7,seats,mesinger,,./category/Seats/thumbnails/mesinger-number-three-1.jpg,./category/Seats/mesinger-number-three-1.jpg,"[""./category/Seats/mesinger-number-three-2.jpg"",""./category/Seats/mesinger-number-three-3.jpg""]",$365,Mesinger #3,,"price is for leather work only. all H.D. and Indian twins, and Henderson KJ ; started in 1925 stretched leather on a steel half pan"
ams-8,seats,mesinger,,./category/Seats/thumbnails/mesinger-number-two-auto-cushion-1.jpg,./category/Seats/mesinger-number-two-auto-cushion-1.jpg,"[""./category/Seats/mesinger-number-two-auto-cushion-2.jpg"",""./category/Seats/mesinger-number-two-auto-cushion-3.jpg""]",$300,Mesinger Auto Cushion #2,,"price is for leather work only. small steel pan, script or block letter logo, "
ams-9,seats,mesinger,,./category/Seats/thumbnails/mesinger-racer-high-upturn-1.jpg,./category/Seats/mesinger-racer-high-upturn-1.jpg,"[""./category/Seats/mesinger-racer-high-upturn-2.jpg"",""./category/Seats/mesinger-racer-high-upturn-3.jpg"",""./category/Seats/mesinger-racer-high-upturn-4.jpg""]",$450,Mesinger Racer High Upturn,,"price is for leather work only. new curved steel base, padded & sewn, top and bottom leather "
ams-10,seats,mesinger,,./category/Seats/thumbnails/mesinger-racer-low-upturn-1.jpg,./category/Seats/mesinger-racer-low-upturn-1.jpg,"[""./category/Seats/mesinger-racer-low-upturn-2.jpg"",""./category/Seats/mesinger-racer-low-upturn-3.jpg""]",$450,Mesinger Racer Low Upturn,,"price is for leather work only. new curved steel base, padded & sewn, top and bottom leather "
